UID	Weight_g	Length_mm	Width_mm	Height_mm	boxID	sex	Viscera_wt	fillet_wt_g	OBS	Notes
2024-10-07_0002	1400	46	64.9	95	1	F	152	918	OKSANA	
2024-10-07_0005	1436	47.5	80	100.4	1	F	129.2	917.7	TORSTEN	
2024-10-07_0012	1673	51	81	114	1	F	178.4	1039.7	TORSTEN	
2024-10-07_0017	1650	49.5	75	108	1	F	154	1052	OKSANA	
2024-10-07_0019	1531	47.7	78	111	1	F	176	986	OKSANA	
2024-10-07_0035	1110	45.5	70	95	1	F	73.3	690.6	T	
2024-10-07_0037	1526	47.5	79	98	1	F	182.7	954.8	T	
2024-10-07_0040	1302	47.5	70	96	1	F	98	826	O	
2024-10-07_0042	1620	46.9	78	104	1	F	168	1042	O	
2024-10-07_0043	1448	45.6	82	106	1	F	191.4	905	T	
2024-10-07_0050	1591	46.2	80	117	1	F	170	988	O	DEFORMED
2024-10-07_0052	1481	47.5	77	105	1	F	138	884	o	
2024-10-08_0009	939	42	59	90	2	F	62	598	S	DEFORMED
2024-10-08_0010	502	36.9	41	71	2	F	22	324	S	
2024-10-08_0011	1451	46.5	75	101	2	F	146.5	938	T	DEFORMED
2024-10-08_0012	1244	44.5	64	99	2	F	127.5	780	T	DEFORMED
2024-10-08_0020	612	37.5	55	75	2	F	46	384	S	DEFORMED
2024-10-08_0027	843	42.3	55	80	2	F	67	549	T	
2024-10-08_0030	757	39.5	51	75	2	F	60.5	470		DEFORMED
2024-10-08_0034	1030	44	61	85	2	F	78.9	671.3	T	
2024-10-08_0048	787	40	52	77	2	F	70	484	S	ISSUE
2024-10-08_0051	977	43.3	64	89	2	F	79	640.7	T	ISSUE
2024-10-08_0052	1195	47.5	63	95	2	F	104.3	765.7	T	
2024-10-08_0054	792	38.7	55	80	2	F	69	505.5	T	
2024-10-08_0056	1460	44	75	105	2	F	152.2	897.5	T	DEFORM
2024-10-08_0057	798	41	57	77	2	F	50	486	S	
2024-10-08_0059	1199	44	66	99	2	F	92.6	290	T	
2024-10-08_0060	993	43	60	92	2	F	90	614	S	DEFORM
2024-10-08_0061	827	41	60	82	2	F	60	547.3	T	DEFORM
2024-10-08_0062	1579	47	81	107	2	F	218	970	T	
2024-10-08_0063	1543	46.5	76	110	2	F	194	896	S	
2024-10-08_0069	1393	46.5	66	96	2	F	116	886	S	
2024-10-08_0070	1528	45	73	105	2	F	208.9	947	T	
2024-10-08_0071	1011	44.4	60	82	2	F	74.7	648	T	
2024-10-08_0072	1214	43.7	61	92	2	F	96	782	O	
2024-10-08_0075	980	44	64	87	2	F	96	495	O	DEFORM
2024-10-08_0076	757	39.4	55	75	2	F	62	475	T	DEFORM
2024-10-08_0077	1028	44.4	59	85	2	F	80	658	O	
2024-10-08_0078	881	40.2	59	81	2	F	83	561.5	T	
2024-10-08_0082	1886	51	78	107	3	F	218.1	1179.5	T	DEFORM
2024-10-08_0087	1132	47.2	64	90	3	F	102	688	O	
2024-10-08_0090	961	43.2	60	85	3	F	78	604	O	DEFORM
2024-10-08_0092	1431	46	68	95	3	F	166	884	O	
2024-10-08_0093	772	39.4	56	79	3	F	47.5	510	T	DEFORM
2024-10-08_0099	1128	43.5	64	88	3	F	108.7	726	T	
2024-10-08_0100	1086	45.2	61	85	3	F	76	700	O	
2024-10-14_0002	1058	46.4	59	85	3	F	78	674	O	
2024-10-14_0003	1533	46.5	75	111	3	F	197	922.2	T	
2024-10-14_0004	1186	43	61	92	3	F	120	698	O	DEFORMED
2024-10-14_0006	1248	44	65	102	3	F	136	776	O	
2024-10-14_0007	897	40.1	62	88	3	F	101.8	548.6	T	DEFORMED
2024-10-14_0008	858	42.7	54	78	3	F	52	536	O	
2024-10-14_0016	1319	42.7	71	101	3	F	172	766	O	DEFORMED
2024-10-14_0020	888	43	54	85	3	F	70	526	O	DEFORMED
2024-10-14_0021	1234	41	75	99	3	F	154.6	756.8	T	DEFORMED
2024-10-14_0024	1198	44	70	94	3	F	146	742	O	DEFORMED
2024-10-14_0025	1430	46	72	110	3	F	189	861	T	
2024-10-14_0028	1418	44.3	71	106	3	F	168	842	O	
2024-10-14_0029	974	38.4	64	92	3	F	118	572.6	T	DEFORMED
2024-10-14_0030	1480	46.5	73	109	3	F	214	890	O	
2024-10-14_0031	1276	46.4	62	94	3	F	129	797	T	
2024-10-14_0035	775	41	55	82	3	F	65	477	T	
2024-10-14_0036	824	40	55	82	3	F	88	484	O	DEFORMED
2024-10-14_0043	1455	46.7	70	106	3	F	168	894	O	
2024-10-14_0045	1510	45.5	74	107	3	F	146	940	O	
2024-10-14_0046	1395	44.7	69	106	3	F	182	828	O	DEFORMED
2024-10-14_0047	1341	45.2	65	100	3	F	160	804	O	DEFORMED
2024-10-14_0048	1060	40.5	72	96	3	F	106.6	668	T	DEFORMED
2024-10-14_0049	676	40.2	50	73	3	F	34	430	O	
2024-10-14_0050	959	43	63	87	3	F	66	627	T	
2024-10-14_0054	944	42.7	55	80	3	F	58.5	626	T	DEFORMED
2024-10-14_0057	1369	48	69	100	3	F	158	834	O	
2024-10-14_0059	1266	44.5	66	100	3	F	156	774	O	
2024-10-14_0061	1297	46.5	63	95	3	F	195	771	T	
2024-10-14_0064	584	37.5	45	67	3	F	30	360	O	DEFORMITY
2024-10-14_0067	1617	48	73	107	3	F	222	970	T	DEFORMITY
2024-10-14_0069	1310	46	60	97	3	F	168	766	T	DEFORMITY
2024-10-14_0070	904	42	55	77	3	F	64	568	O	
2024-10-14_0072	766	39.7	53	76	3	F	52	478	O	DEFORMITY
2024-10-14_0073	934	42.5	56	89	3	F	54	616	O	
2024-10-14_0075	831	41.2	52	75	3	F	60	494	O	
2024-10-14_0083	1315	45	64	104	4	F	160	810	T	
2024-10-14_0084	1342	45	67	98	4	F	172	835	T	
2024-10-14_0085	732	40	54	75	4	F	44	470	O	
2024-10-14_0092	892	41	54	85	4	F	65	584	T	DEFORM
2024-10-14_0095	1329	44.5	63	99	4	F	148	828	O	
2024-10-14_0096	1057	42	66	90	4	F	119.5	661	T	
2024-10-14_0097	1079	43	70	90	4	F	110	634	O	DEFORM
2024-10-14_0099	1142	43	60	87	4	F	1147	720	O	DEFORM
2024-10-14_0101	1083	43.3	57	90	4	F	108	690	O	
2024-10-14_0102	1168	45	55	87	4	F	118	752.4	T	
2024-10-14_0103	334	33	35	55	4	F	8	184	O	
2024-10-15_0008	1324	47.2	64	96	5	F	109	847	T	
2024-10-15_0014	1524	48	72	104	5	F	204	884	S	
2024-10-15_0020	1009	43.6	57	88	5	F	76	644	T	DEFORMED
2024-10-15_0025	1600	43.2	76	109	5	F	188	946	S	DEFORMED
2024-10-15_0032	1488	48.6	73	101	5	F	166.5	932	T	
2024-10-15_0035	1133	44.2	59	90	5	F	79	734	T	
2024-10-15_0037	1563	51	74	102	5	F	141	1015	T	
2024-10-15_0051	1224	45.5	61	92	5	F	116	786	T	
2024-10-15_0054	1585	47.5	74	99	5	F	168	1007	T	
2024-10-15_0065	1521	46	69	96	5	F	180	922	S	DEFORMED
2024-10-15_0071	1517	49.2	65	101	5	F	114	948	S	
2024-10-15_0075	1517	48.5	72	98	5	F	147	964	T	
2024-10-15_0077	1509	47.2	68	98	5	F	120	932	S	DEFORMED
2024-10-15_0078	1498	49.7	69	97	5	F	125	947	T	
2024-10-15_0079	1511	49.5	65	97	5	F	119.5	968	T	DEFORMED
2024-10-15_0100	1371	48.5	65	94		F	123	885	T	
2024-10-07_0001	1200	44.5	62.5	95.6	1	M	101.2	761.1	TORSTEN	
2024-10-07_0003	1370	45.5	71	100.5	1	M	106.7	878.7	TORSTEN	BAD TAIL/ BENT
2024-10-07_0004	1673	48.7	80	110	1	M	196	1058	OKSANA	
2024-10-07_0006	1735	48	89	120	1	M	218	1066	OKSANA	
